"Estado","% Ocupación"
"Chihuahua","53.25"
"Aguascalientes","44.24"
"Baja California","40.42"
"Sonora","37.83"
"Durango","35.46"
"Nuevo León","29.57"
"Coahuila de Zaragoza","28.09"
"Sinaloa","21.80"
"San Luis Potosí","21.05"
"Guanajuato","17.15"
"Puebla","17.07"
"Zacatecas","13.82"
"Baja California Sur","13.72"
"Quintana Roo","13.33"
"Tamaulipas","11.55"
"Ciudad de México","11.01"
"Jalisco","9.33"
"Querétaro","8.87"
"Nayarit","8.60"
"Oaxaca","8.48"
"Veracruz de Ignacio de La Llave","7.19"
"Morelos","7.14"
"Colima","6.73"
"México","6.68"
"Hidalgo","5.31"
"Guerrero","5.00"
"Michoacán de Ocampo","4.84"
"Tabasco","2.94"
"Yucatán","1.89"
"Chiapas","1.58"
"Tlaxcala","0.90"
"Campeche","0.48"
