"Estado","% Ocupación"
"Baja California","38.85"
"Aguascalientes","38.82"
"Querétaro","37.34"
"Puebla","34.50"
"Ciudad de México","32.55"
"Coahuila de Zaragoza","32.54"
"Tamaulipas","32.30"
"Nayarit","32.11"
"Guanajuato","30.73"
"San Luis Potosí","30.17"
"Michoacán de Ocampo","29.77"
"Durango","28.57"
"Morelos","28.45"
"Nuevo León","28.31"
"Sonora","28.09"
"Chihuahua","27.77"
"Oaxaca","27.57"
"Jalisco","27.52"
"Tabasco","27.07"
"Hidalgo","26.16"
"Sinaloa","25.49"
"México","25.12"
"Quintana Roo","24.45"
"Veracruz de Ignacio de La Llave","24.23"
"Colima","24.16"
"Zacatecas","22.77"
"Tlaxcala","22.30"
"Guerrero","20.61"
"Yucatán","12.58"
"Chiapas","10.09"
"Baja California Sur","7.44"
"Campeche","6.81"
