"Estado","% Ocupación"
"Baja California","36.03"
"Aguascalientes","26.72"
"Jalisco","18.66"
"Chihuahua","17.30"
"Ciudad de México","16.18"
"Sonora","16.02"
"Durango","15.78"
"Nuevo León","15.49"
"Tabasco","14.34"
"Morelos","14.08"
"Oaxaca","13.86"
"Yucatán","13.37"
"Zacatecas","12.84"
"Querétaro","12.82"
"México","12.76"
"San Luis Potosí","12.69"
"Guanajuato","11.79"
"Hidalgo","11.27"
"Tlaxcala","11.26"
"Puebla","10.63"
"Coahuila de Zaragoza","10.59"
"Sinaloa","10.36"
"Veracruz de Ignacio de La Llave","9.17"
"Tamaulipas","9.04"
"Nayarit","8.62"
"Michoacán de Ocampo","7.97"
"Colima","7.93"
"Baja California Sur","7.09"
"Chiapas","6.71"
"Quintana Roo","4.28"
"Guerrero","3.84"
"Campeche","3.41"
