"Estado","% Ocupación"
"Tlaxcala","12.00"
"Oaxaca","9.09"
"Durango","7.40"
"Zacatecas","4.30"
"Colima","3.84"
"Jalisco","3.83"
"Ciudad de México","3.75"
"Yucatán","3.68"
"Veracruz de Ignacio de La Llave","2.05"
"Morelos","1.78"
"México","1.66"
"Chihuahua","1.45"
"Hidalgo","1.25"
"Sonora","1.23"
"Tamaulipas","1.08"
"San Luis Potosí","0.98"
"Puebla","0.94"
"Michoacán de Ocampo","0.65"
"Guanajuato","0.47"
"Chiapas","0.40"
"Guerrero","0.00"
"Querétaro","0.00"
"Campeche","0.00"
"Tabasco","0.00"
"Coahuila de Zaragoza","0.00"
"Baja California Sur","0.00"
"Quintana Roo","0.00"
"Baja California","0.00"
"Nayarit","0.00"
"Nuevo León","0.00"
"Sinaloa","0.00"
"Aguascalientes","0.00"
