"Estado","% Ocupación"
"Nayarit","100.00"
"Colima","100.00"
"Zacatecas","100.00"
"Durango","100.00"
"Querétaro","90.00"
"Ciudad de México","83.06"
"Oaxaca","80.00"
"Nuevo León","77.23"
"Sinaloa","73.33"
"Michoacán de Ocampo","68.00"
"San Luis Potosí","62.26"
"Jalisco","61.32"
"Puebla","57.30"
"Sonora","56.75"
"Aguascalientes","53.84"
"Yucatán","52.00"
"México","50.68"
"Tamaulipas","49.54"
"Veracruz de Ignacio de La Llave","48.51"
"Hidalgo","46.66"
"Tabasco","45.00"
"Guanajuato","43.85"
"Guerrero","43.47"
"Chiapas","37.50"
"Quintana Roo","28.33"
"Chihuahua","23.07"
"Morelos","21.73"
"Coahuila de Zaragoza","18.18"
"Baja California","8.10"
"Campeche","6.45"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
