"Estado","% Ocupación"
"Baja California Sur","30.12"
"Nayarit","22.72"
"Sinaloa","17.09"
"Querétaro","12.72"
"Nuevo León","11.96"
"Chihuahua","11.76"
"Colima","11.47"
"Oaxaca","9.56"
"Sonora","8.64"
"Tamaulipas","8.21"
"Veracruz de Ignacio de La Llave","7.66"
"Zacatecas","7.14"
"Ciudad de México","7.03"
"Durango","6.89"
"Quintana Roo","6.38"
"Jalisco","6.34"
"Hidalgo","6.12"
"Coahuila de Zaragoza","5.55"
"Aguascalientes","5.00"
"San Luis Potosí","2.64"
"Guerrero","2.56"
"Tlaxcala","2.32"
"Guanajuato","2.15"
"México","2.04"
"Baja California","1.90"
"Puebla","1.55"
"Michoacán de Ocampo","1.42"
"Yucatán","1.24"
"Tabasco","1.17"
"Campeche","0.98"
"Chiapas","0.00"
"Morelos","0.00"
