"Estado","% Ocupación"
"Ciudad de México","71.14"
"Colima","69.81"
"Nayarit","62.22"
"Nuevo León","58.07"
"Oaxaca","56.43"
"Sinaloa","52.30"
"Yucatán","50.58"
"Sonora","46.11"
"Baja California Sur","45.60"
"Jalisco","45.00"
"Guerrero","44.27"
"Hidalgo","38.46"
"Tabasco","37.22"
"Veracruz de Ignacio de La Llave","33.23"
"México","31.55"
"Durango","31.03"
"Tamaulipas","28.37"
"Michoacán de Ocampo","26.92"
"Tlaxcala","22.58"
"Quintana Roo","21.18"
"Baja California","20.94"
"Querétaro","20.73"
"Puebla","20.43"
"Morelos","18.33"
"Chiapas","17.45"
"Aguascalientes","17.43"
"Chihuahua","16.44"
"San Luis Potosí","14.75"
"Zacatecas","12.40"
"Campeche","10.07"
"Coahuila de Zaragoza","7.58"
"Guanajuato","6.42"
