"Estado","% Ocupación"
"Yucatán","72.72"
"Oaxaca","56.25"
"Tabasco","41.30"
"Quintana Roo","40.47"
"Sonora","39.02"
"Tamaulipas","33.69"
"Nuevo León","33.33"
"Sinaloa","23.07"
"San Luis Potosí","22.22"
"Durango","19.14"
"Puebla","18.46"
"Querétaro","18.18"
"Michoacán de Ocampo","18.18"
"Aguascalientes","16.12"
"Jalisco","15.04"
"México","14.95"
"Baja California Sur","14.28"
"Ciudad de México","13.52"
"Veracruz de Ignacio de La Llave","12.94"
"Baja California","11.36"
"Zacatecas","11.11"
"Guanajuato","9.80"
"Guerrero","7.81"
"Hidalgo","6.66"
"Campeche","3.33"
"Chihuahua","3.27"
"Chiapas","2.12"
"Tlaxcala","0.00"
"Coahuila de Zaragoza","0.00"
"Nayarit","0.00"
"Colima","0.00"
"Morelos","0.00"
