"Estado","% Ocupación"
"Chihuahua","54.23"
"Aguascalientes","47.82"
"Durango","40.45"
"Baja California","34.45"
"Sonora","34.35"
"Coahuila de Zaragoza","30.30"
"Baja California Sur","30.18"
"Sinaloa","28.96"
"Nuevo León","27.04"
"Zacatecas","22.82"
"San Luis Potosí","21.48"
"Guanajuato","20.00"
"Quintana Roo","16.95"
"Ciudad de México","16.06"
"Jalisco","15.53"
"Puebla","15.38"
"Tamaulipas","11.89"
"Hidalgo","11.73"
"Querétaro","11.06"
"Colima","8.57"
"Guerrero","8.47"
"México","8.47"
"Morelos","7.73"
"Veracruz de Ignacio de La Llave","7.34"
"Nayarit","6.17"
"Oaxaca","6.06"
"Tabasco","3.96"
"Yucatán","3.91"
"Michoacán de Ocampo","3.27"
"Tlaxcala","2.67"
"Chiapas","0.50"
"Campeche","0.47"
