"Estado","% Ocupación"
"Baja California","51.85"
"Chihuahua","49.16"
"Aguascalientes","48.22"
"Sonora","36.32"
"Durango","32.28"
"Puebla","29.92"
"Sinaloa","26.80"
"Nuevo León","26.55"
"Coahuila de Zaragoza","25.33"
"Guanajuato","25.00"
"San Luis Potosí","23.22"
"Oaxaca","22.75"
"Jalisco","21.72"
"Nayarit","19.23"
"Colima","19.09"
"Tamaulipas","17.72"
"México","14.67"
"Hidalgo","13.98"
"Querétaro","13.80"
"Morelos","13.66"
"Veracruz de Ignacio de La Llave","13.22"
"Ciudad de México","12.58"
"Michoacán de Ocampo","11.50"
"Tabasco","10.61"
"Quintana Roo","9.67"
"Guerrero","9.63"
"Zacatecas","9.27"
"Yucatán","7.63"
"Tlaxcala","6.36"
"Chiapas","5.92"
"Baja California Sur","5.17"
"Campeche","2.44"
