"Estado","% Ocupación"
"Colima","75.00"
"Ciudad de México","72.03"
"Tlaxcala","70.23"
"Hidalgo","69.10"
"Nayarit","62.90"
"Nuevo León","61.84"
"Oaxaca","61.36"
"Jalisco","61.05"
"Tabasco","58.88"
"Veracruz de Ignacio de La Llave","54.45"
"México","53.52"
"Guerrero","48.94"
"Durango","47.74"
"Morelos","47.36"
"Sonora","46.94"
"San Luis Potosí","45.86"
"Sinaloa","41.01"
"Michoacán de Ocampo","40.35"
"Aguascalientes","39.37"
"Puebla","37.20"
"Yucatán","35.83"
"Zacatecas","34.37"
"Querétaro","32.91"
"Baja California Sur","26.13"
"Quintana Roo","25.57"
"Coahuila de Zaragoza","22.85"
"Baja California","22.35"
"Chiapas","19.68"
"Tamaulipas","18.84"
"Chihuahua","16.10"
"Guanajuato","12.46"
"Campeche","12.14"
