"Estado","% Ocupación"
"Aguascalientes","53.63"
"Chihuahua","32.65"
"Baja California","26.61"
"Durango","25.00"
"Coahuila de Zaragoza","21.90"
"Sonora","20.74"
"Zacatecas","17.27"
"Ciudad de México","14.26"
"Sinaloa","13.69"
"Nuevo León","13.25"
"Guanajuato","10.71"
"San Luis Potosí","10.43"
"Colima","10.25"
"Nayarit","10.00"
"Jalisco","9.92"
"Puebla","8.44"
"Tamaulipas","8.24"
"Hidalgo","7.60"
"Yucatán","7.14"
"Querétaro","7.07"
"Oaxaca","5.63"
"México","4.94"
"Veracruz de Ignacio de La Llave","4.87"
"Baja California Sur","4.80"
"Michoacán de Ocampo","4.68"
"Morelos","3.75"
"Tabasco","1.27"
"Guerrero","1.11"
"Chiapas","0.76"
"Tlaxcala","0.00"
"Quintana Roo","0.00"
"Campeche","0.00"
