"Estado","% Ocupación"
"Morelos","100.00"
"Colima","100.00"
"Yucatán","72.41"
"Querétaro","68.18"
"México","60.00"
"Sinaloa","59.57"
"Nuevo León","59.30"
"Veracruz de Ignacio de La Llave","55.67"
"Michoacán de Ocampo","53.33"
"Oaxaca","52.17"
"Ciudad de México","46.57"
"Sonora","40.90"
"Tamaulipas","40.00"
"Tabasco","38.82"
"Puebla","37.31"
"Durango","36.36"
"Guerrero","36.20"
"Jalisco","35.36"
"Quintana Roo","30.00"
"Baja California","18.91"
"Chihuahua","15.62"
"San Luis Potosí","15.38"
"Aguascalientes","15.00"
"Coahuila de Zaragoza","14.28"
"Hidalgo","11.76"
"Zacatecas","11.11"
"Campeche","9.37"
"Guanajuato","7.14"
"Chiapas","2.12"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
