"Estado","% Ocupación"
"Coahuila de Zaragoza","100.00"
"Colima","100.00"
"Zacatecas","88.88"
"Querétaro","85.00"
"Yucatán","75.00"
"Aguascalientes","65.62"
"Puebla","61.79"
"Tabasco","59.20"
"Tlaxcala","50.00"
"México","49.46"
"Tamaulipas","48.57"
"Ciudad de México","46.15"
"Jalisco","42.41"
"Guanajuato","41.81"
"Baja California","40.00"
"Veracruz de Ignacio de La Llave","36.25"
"Nuevo León","34.19"
"Durango","33.96"
"Michoacán de Ocampo","33.33"
"Oaxaca","30.76"
"Chihuahua","29.54"
"Chiapas","28.94"
"San Luis Potosí","28.94"
"Morelos","25.00"
"Sinaloa","22.41"
"Quintana Roo","12.50"
"Sonora","12.50"
"Hidalgo","12.12"
"Guerrero","11.82"
"Campeche","3.12"
"Nayarit","0.00"
"Baja California Sur","0.00"
