"Estado","% Ocupación"
"Tlaxcala","9.52"
"Oaxaca","7.89"
"Jalisco","3.63"
"Colima","1.88"
"Tamaulipas","1.78"
"Sonora","1.38"
"Chihuahua","1.11"
"Ciudad de México","1.09"
"San Luis Potosí","0.98"
"México","0.97"
"Nuevo León","0.86"
"Yucatán","0.81"
"Michoacán de Ocampo","0.67"
"Veracruz de Ignacio de La Llave","0.52"
"Puebla","0.48"
"Guanajuato","0.46"
"Baja California","0.44"
"Guerrero","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Quintana Roo","0.00"
"Coahuila de Zaragoza","0.00"
"Tabasco","0.00"
"Sinaloa","0.00"
"Chiapas","0.00"
"Hidalgo","0.00"
"Aguascalientes","0.00"
"Morelos","0.00"
"Querétaro","0.00"
"Campeche","0.00"
"Zacatecas","0.00"
"Durango","0.00"
