"Estado","% Ocupación"
"Colima","95.34"
"Guerrero","75.75"
"Durango","74.45"
"Nayarit","73.47"
"Ciudad de México","72.94"
"Hidalgo","72.39"
"Nuevo León","69.44"
"Veracruz de Ignacio de La Llave","67.59"
"Puebla","66.31"
"Oaxaca","60.52"
"México","60.26"
"Sinaloa","58.71"
"Jalisco","56.63"
"Tlaxcala","55.71"
"Quintana Roo","52.92"
"Sonora","51.18"
"Morelos","50.46"
"San Luis Potosí","50.28"
"Zacatecas","50.00"
"Aguascalientes","48.48"
"Michoacán de Ocampo","45.33"
"Querétaro","43.12"
"Tamaulipas","39.71"
"Coahuila de Zaragoza","35.27"
"Tabasco","32.97"
"Baja California Sur","24.85"
"Chiapas","23.47"
"Baja California","21.38"
"Chihuahua","19.67"
"Guanajuato","19.62"
"Yucatán","17.86"
"Campeche","15.33"
