"Estado","% Ocupación"
"Zacatecas","100.00"
"Querétaro","90.00"
"Yucatán","66.66"
"Puebla","61.11"
"Morelos","60.00"
"Tabasco","55.90"
"Tamaulipas","55.44"
"Aguascalientes","54.83"
"Tlaxcala","50.00"
"México","48.78"
"Ciudad de México","47.27"
"Guanajuato","44.64"
"Michoacán de Ocampo","42.85"
"Jalisco","38.70"
"Coahuila de Zaragoza","36.36"
"Nuevo León","34.62"
"San Luis Potosí","34.14"
"Durango","30.43"
"Veracruz de Ignacio de La Llave","29.47"
"Chihuahua","27.90"
"Baja California","23.52"
"Sinaloa","22.58"
"Chiapas","20.83"
"Oaxaca","20.68"
"Quintana Roo","15.15"
"Hidalgo","15.15"
"Guerrero","10.00"
"Sonora","5.55"
"Nayarit","0.00"
"Baja California Sur","0.00"
"Campeche","0.00"
"Colima","0.00"
