"Estado","% Ocupación"
"Morelos","100.00"
"Colima","100.00"
"Querétaro","90.00"
"Durango","69.23"
"Zacatecas","65.00"
"Aguascalientes","60.00"
"Michoacán de Ocampo","50.00"
"Puebla","50.00"
"Yucatán","41.66"
"Guanajuato","35.18"
"Tamaulipas","31.00"
"Jalisco","30.23"
"Tabasco","30.18"
"México","27.52"
"Ciudad de México","26.56"
"Baja California","26.47"
"Oaxaca","25.92"
"San Luis Potosí","24.32"
"Nuevo León","22.75"
"Coahuila de Zaragoza","22.22"
"Chiapas","21.27"
"Veracruz de Ignacio de La Llave","19.40"
"Sinaloa","19.23"
"Chihuahua","18.18"
"Sonora","12.50"
"Quintana Roo","11.76"
"Hidalgo","7.14"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
"Guerrero","0.00"
"Campeche","0.00"
