"Estado","% Ocupación"
"Baja California","44.51"
"Aguascalientes","27.77"
"Chihuahua","22.65"
"Sonora","20.75"
"Nuevo León","19.82"
"Durango","19.23"
"Morelos","15.38"
"Puebla","14.96"
"Ciudad de México","14.82"
"Colima","14.28"
"San Luis Potosí","14.28"
"Tlaxcala","12.50"
"Coahuila de Zaragoza","12.06"
"Hidalgo","12.05"
"Querétaro","11.89"
"Jalisco","11.83"
"México","10.81"
"Oaxaca","9.78"
"Michoacán de Ocampo","9.28"
"Tamaulipas","9.26"
"Guanajuato","9.15"
"Tabasco","8.75"
"Yucatán","8.24"
"Zacatecas","7.20"
"Baja California Sur","6.30"
"Nayarit","4.83"
"Sinaloa","4.49"
"Veracruz de Ignacio de La Llave","4.32"
"Guerrero","3.53"
"Quintana Roo","3.31"
"Chiapas","3.01"
"Campeche","0.81"
