"Estado","% Ocupación"
"Baja California","42.88"
"Aguascalientes","40.10"
"Nayarit","39.28"
"Querétaro","39.24"
"Tamaulipas","36.23"
"Coahuila de Zaragoza","36.00"
"Puebla","34.49"
"Ciudad de México","33.14"
"Durango","33.05"
"Guanajuato","32.36"
"Tabasco","31.86"
"Sonora","31.12"
"Michoacán de Ocampo","31.11"
"Nuevo León","30.49"
"Chihuahua","29.61"
"Oaxaca","28.90"
"Jalisco","27.92"
"Morelos","27.14"
"San Luis Potosí","27.09"
"Sinaloa","26.86"
"Hidalgo","26.26"
"México","25.82"
"Zacatecas","25.51"
"Quintana Roo","25.00"
"Veracruz de Ignacio de La Llave","24.73"
"Colima","23.71"
"Tlaxcala","21.09"
"Guerrero","20.85"
"Yucatán","12.73"
"Baja California Sur","12.10"
"Chiapas","10.35"
"Campeche","7.38"
