"Estado","% Ocupación"
"Tabasco","72.40"
"Veracruz de Ignacio de La Llave","68.40"
"Puebla","65.99"
"Durango","64.19"
"Hidalgo","61.99"
"Oaxaca","60.00"
"Nuevo León","57.07"
"Colima","56.91"
"Aguascalientes","56.37"
"Tlaxcala","54.96"
"México","52.53"
"San Luis Potosí","52.40"
"Querétaro","50.58"
"Morelos","50.29"
"Michoacán de Ocampo","50.07"
"Ciudad de México","49.76"
"Zacatecas","48.95"
"Jalisco","46.91"
"Sonora","44.07"
"Nayarit","43.38"
"Tamaulipas","42.70"
"Coahuila de Zaragoza","39.55"
"Guerrero","35.94"
"Quintana Roo","33.43"
"Guanajuato","31.93"
"Sinaloa","27.97"
"Baja California","26.70"
"Yucatán","19.44"
"Campeche","18.56"
"Chiapas","17.06"
"Baja California Sur","16.19"
"Chihuahua","15.40"
