"Estado","% Ocupación"
"Baja California Sur","68.72"
"Quintana Roo","38.66"
"Tamaulipas","38.66"
"Sinaloa","34.72"
"Ciudad de México","33.82"
"Sonora","33.42"
"Tabasco","30.01"
"Nayarit","28.57"
"Nuevo León","26.54"
"Yucatán","26.18"
"Veracruz de Ignacio de La Llave","25.10"
"Durango","25.00"
"Oaxaca","23.41"
"Aguascalientes","16.94"
"Hidalgo","16.12"
"Colima","15.66"
"México","15.66"
"Jalisco","15.61"
"Campeche","15.31"
"Guerrero","13.62"
"Puebla","11.11"
"Baja California","10.60"
"Michoacán de Ocampo","8.93"
"Morelos","8.88"
"San Luis Potosí","8.24"
"Chihuahua","7.79"
"Coahuila de Zaragoza","7.31"
"Chiapas","5.40"
"Querétaro","4.59"
"Tlaxcala","4.54"
"Zacatecas","2.97"
"Guanajuato","2.64"
