"Estado","% Ocupación"
"Coahuila de Zaragoza","43.59"
"Aguascalientes","42.50"
"Colima","41.17"
"Puebla","40.86"
"Tamaulipas","38.68"
"Jalisco","37.17"
"Chihuahua","36.97"
"Michoacán de Ocampo","36.94"
"Durango","36.93"
"Hidalgo","36.66"
"Morelos","36.54"
"Ciudad de México","35.57"
"Guanajuato","35.11"
"Veracruz de Ignacio de La Llave","35.09"
"Nayarit","34.95"
"Nuevo León","34.18"
"Oaxaca","33.80"
"Querétaro","32.57"
"Baja California","32.16"
"México","31.40"
"Tabasco","31.40"
"San Luis Potosí","31.29"
"Sonora","31.25"
"Sinaloa","29.48"
"Zacatecas","28.57"
"Tlaxcala","24.81"
"Quintana Roo","23.52"
"Guerrero","21.65"
"Yucatán","13.46"
"Chiapas","10.73"
"Baja California Sur","9.67"
"Campeche","7.23"
