"Estado","% Ocupación"
"Querétaro","100.00"
"Michoacán de Ocampo","54.54"
"Aguascalientes","45.45"
"Puebla","31.81"
"Nuevo León","29.25"
"Ciudad de México","27.11"
"Coahuila de Zaragoza","23.07"
"Sinaloa","21.73"
"Jalisco","17.61"
"Tabasco","16.66"
"Sonora","16.66"
"Chihuahua","15.15"
"Veracruz de Ignacio de La Llave","12.96"
"México","12.12"
"Yucatán","11.53"
"Guanajuato","11.11"
"Zacatecas","11.11"
"Tamaulipas","10.52"
"Oaxaca","9.09"
"Hidalgo","7.69"
"Baja California","7.14"
"San Luis Potosí","6.89"
"Guerrero","3.50"
"Campeche","3.33"
"Durango","2.22"
"Colima","0.00"
"Nayarit","0.00"
"Baja California Sur","0.00"
"Chiapas","0.00"
"Tlaxcala","0.00"
"Morelos","0.00"
"Quintana Roo","0.00"
