"Estado","% Ocupación"
"Tlaxcala","36.00"
"Nuevo León","15.59"
"Querétaro","12.85"
"Aguascalientes","11.53"
"Baja California Sur","8.69"
"Puebla","6.22"
"Ciudad de México","5.95"
"Jalisco","5.42"
"México","4.77"
"Tamaulipas","4.28"
"Michoacán de Ocampo","4.00"
"Chihuahua","3.65"
"Hidalgo","3.48"
"Colima","3.44"
"Tabasco","3.37"
"Nayarit","3.03"
"Veracruz de Ignacio de La Llave","2.97"
"Campeche","2.73"
"Baja California","2.65"
"Durango","2.38"
"Morelos","2.17"
"Guanajuato","2.17"
"Sonora","2.06"
"San Luis Potosí","1.94"
"Oaxaca","1.75"
"Yucatán","1.08"
"Zacatecas","0.90"
"Sinaloa","0.72"
"Chiapas","0.00"
"Quintana Roo","0.00"
"Guerrero","0.00"
"Coahuila de Zaragoza","0.00"
