"Estado","% Ocupación"
"Querétaro","100.00"
"Puebla","21.42"
"Ciudad de México","16.83"
"Durango","14.28"
"Michoacán de Ocampo","9.09"
"Guanajuato","8.16"
"México","7.77"
"Nuevo León","6.79"
"Sinaloa","6.06"
"Zacatecas","5.55"
"Chihuahua","4.16"
"Yucatán","4.00"
"Jalisco","3.79"
"Guerrero","2.85"
"Baja California Sur","0.00"
"Quintana Roo","0.00"
"Tabasco","0.00"
"Tamaulipas","0.00"
"Nayarit","0.00"
"Tlaxcala","0.00"
"Oaxaca","0.00"
"San Luis Potosí","0.00"
"Hidalgo","0.00"
"Veracruz de Ignacio de La Llave","0.00"
"Chiapas","0.00"
"Aguascalientes","0.00"
"Campeche","0.00"
"Colima","0.00"
"Sonora","0.00"
"Morelos","0.00"
"Coahuila de Zaragoza","0.00"
"Baja California","0.00"
