"Estado","% Ocupación"
"Chihuahua","58.13"
"Querétaro","56.25"
"Aguascalientes","56.25"
"Durango","55.81"
"Zacatecas","44.44"
"Sonora","32.35"
"Yucatán","28.57"
"Puebla","27.27"
"Sinaloa","26.31"
"Nuevo León","23.82"
"Michoacán de Ocampo","20.00"
"Ciudad de México","17.60"
"México","15.78"
"San Luis Potosí","15.38"
"Guanajuato","14.03"
"Tamaulipas","13.33"
"Tabasco","12.65"
"Jalisco","12.63"
"Veracruz de Ignacio de La Llave","9.52"
"Hidalgo","7.69"
"Guerrero","7.14"
"Oaxaca","5.55"
"Quintana Roo","4.00"
"Baja California","0.00"
"Chiapas","0.00"
"Baja California Sur","0.00"
"Coahuila de Zaragoza","0.00"
"Tlaxcala","0.00"
"Campeche","0.00"
"Morelos","0.00"
"Colima","0.00"
"Nayarit","0.00"
