"Estado","% Ocupación"
"Colima","58.26"
"Tabasco","47.84"
"Veracruz de Ignacio de La Llave","46.89"
"Morelos","46.83"
"Aguascalientes","46.61"
"Querétaro","40.54"
"Nuevo León","40.50"
"Tlaxcala","40.00"
"Puebla","39.14"
"Jalisco","38.82"
"Michoacán de Ocampo","38.42"
"Oaxaca","37.31"
"México","37.31"
"Tamaulipas","35.96"
"Ciudad de México","35.89"
"Hidalgo","34.59"
"Yucatán","32.43"
"Durango","29.67"
"San Luis Potosí","29.67"
"Sonora","24.89"
"Baja California","23.50"
"Nayarit","22.76"
"Zacatecas","21.64"
"Baja California Sur","18.60"
"Guanajuato","18.10"
"Sinaloa","16.97"
"Campeche","16.19"
"Coahuila de Zaragoza","15.55"
"Quintana Roo","15.38"
"Chiapas","15.03"
"Chihuahua","14.20"
"Guerrero","11.05"
