"Estado","% Ocupación"
"Tlaxcala","12.00"
"Oaxaca","4.76"
"Yucatán","4.54"
"Jalisco","4.16"
"Nayarit","4.16"
"Chihuahua","4.02"
"Coahuila de Zaragoza","3.70"
"Puebla","3.34"
"Aguascalientes","3.33"
"Nuevo León","2.13"
"Ciudad de México","1.99"
"Sonora","1.78"
"Durango","1.69"
"México","1.61"
"Tabasco","1.28"
"Hidalgo","1.20"
"Campeche","0.98"
"Sinaloa","0.97"
"Guanajuato","0.91"
"Zacatecas","0.90"
"Tamaulipas","0.65"
"Michoacán de Ocampo","0.64"
"Quintana Roo","0.63"
"Veracruz de Ignacio de La Llave","0.60"
"Chiapas","0.42"
"Colima","0.00"
"Querétaro","0.00"
"Morelos","0.00"
"Guerrero","0.00"
"Baja California","0.00"
"San Luis Potosí","0.00"
"Baja California Sur","0.00"
