"Estado","% Ocupación"
"Quintana Roo","37.50"
"Baja California Sur","33.89"
"Durango","31.57"
"Querétaro","28.81"
"Sinaloa","18.10"
"Tamaulipas","14.78"
"Nayarit","14.63"
"Oaxaca","14.28"
"Nuevo León","10.68"
"Chihuahua","10.41"
"Veracruz de Ignacio de La Llave","8.76"
"Zacatecas","7.50"
"Ciudad de México","7.28"
"Jalisco","5.33"
"Guerrero","5.00"
"Coahuila de Zaragoza","4.83"
"Aguascalientes","4.76"
"Hidalgo","4.25"
"Colima","4.16"
"San Luis Potosí","3.94"
"Sonora","3.12"
"Tabasco","2.95"
"México","2.36"
"Tlaxcala","2.32"
"Baja California","2.12"
"Puebla","2.08"
"Michoacán de Ocampo","2.03"
"Guanajuato","1.86"
"Yucatán","1.24"
"Morelos","1.22"
"Campeche","0.43"
"Chiapas","0.00"
