"Estado","% Ocupación"
"Baja California Sur","33.33"
"Querétaro","31.57"
"Aguascalientes","25.00"
"Sinaloa","24.77"
"Chihuahua","18.46"
"Nuevo León","16.75"
"Oaxaca","14.41"
"Ciudad de México","9.57"
"Tamaulipas","8.76"
"Tlaxcala","8.69"
"Zacatecas","7.50"
"Colima","7.14"
"Coahuila de Zaragoza","6.84"
"Quintana Roo","6.52"
"Sonora","6.14"
"Guerrero","6.06"
"Veracruz de Ignacio de La Llave","5.92"
"Jalisco","4.99"
"Michoacán de Ocampo","3.33"
"Hidalgo","3.27"
"Guanajuato","3.21"
"Nayarit","2.85"
"Baja California","2.80"
"San Luis Potosí","2.64"
"Morelos","2.43"
"México","2.41"
"Puebla","2.33"
"Durango","2.32"
"Yucatán","2.16"
"Campeche","0.93"
"Tabasco","0.80"
"Chiapas","0.00"
