"Estado","% Ocupación"
"Baja California Sur","66.26"
"Quintana Roo","42.47"
"Tamaulipas","34.33"
"Sonora","32.27"
"Sinaloa","29.95"
"Tabasco","25.95"
"Nuevo León","25.00"
"Yucatán","24.06"
"Ciudad de México","24.02"
"Oaxaca","22.66"
"Nayarit","20.95"
"Veracruz de Ignacio de La Llave","19.91"
"Durango","17.94"
"Aguascalientes","16.23"
"Baja California","16.21"
"Hidalgo","15.12"
"Jalisco","13.73"
"Campeche","12.66"
"México","12.27"
"San Luis Potosí","12.14"
"Colima","11.34"
"Coahuila de Zaragoza","11.16"
"Puebla","10.93"
"Morelos","10.37"
"Chihuahua","9.30"
"Guerrero","7.33"
"Michoacán de Ocampo","6.74"
"Chiapas","4.09"
"Guanajuato","3.04"
"Zacatecas","2.97"
"Querétaro","2.88"
"Tlaxcala","0.66"
