"Estado","% Ocupación"
"Querétaro","31.03"
"Baja California Sur","23.52"
"Chihuahua","22.64"
"Sinaloa","18.91"
"Aguascalientes","17.64"
"Nuevo León","14.71"
"Oaxaca","12.72"
"Nayarit","12.19"
"Tamaulipas","9.12"
"Ciudad de México","8.79"
"Quintana Roo","7.69"
"Guerrero","7.50"
"Zacatecas","7.50"
"Colima","7.40"
"Veracruz de Ignacio de La Llave","6.79"
"Durango","6.38"
"Sonora","6.36"
"Jalisco","5.70"
"Coahuila de Zaragoza","4.16"
"San Luis Potosí","3.57"
"Hidalgo","2.89"
"Guanajuato","2.50"
"Tlaxcala","2.32"
"México","2.08"
"Puebla","1.94"
"Michoacán de Ocampo","1.91"
"Morelos","1.84"
"Baja California","1.66"
"Tabasco","1.17"
"Yucatán","1.08"
"Campeche","0.89"
"Chiapas","0.00"
