"Estado","% Ocupación"
"Puebla","62.78"
"Tlaxcala","62.59"
"Nuevo León","61.79"
"Tabasco","60.44"
"Aguascalientes","56.80"
"Veracruz de Ignacio de La Llave","54.47"
"Durango","52.83"
"Morelos","50.59"
"Ciudad de México","50.14"
"Hidalgo","49.88"
"México","46.85"
"Oaxaca","46.12"
"Nayarit","43.24"
"Michoacán de Ocampo","43.00"
"San Luis Potosí","42.62"
"Tamaulipas","42.41"
"Coahuila de Zaragoza","41.74"
"Querétaro","41.24"
"Colima","40.46"
"Jalisco","38.57"
"Guanajuato","37.85"
"Zacatecas","35.41"
"Sonora","34.89"
"Baja California","29.57"
"Quintana Roo","29.46"
"Guerrero","28.62"
"Yucatán","21.52"
"Campeche","16.70"
"Sinaloa","16.38"
"Chiapas","14.60"
"Chihuahua","12.87"
"Baja California Sur","11.68"
