"Estado","% Ocupación"
"Chihuahua","16.90"
"Oaxaca","15.00"
"Baja California Sur","11.11"
"Durango","10.34"
"Colima","10.00"
"Sinaloa","8.18"
"Nuevo León","7.85"
"Nayarit","7.50"
"Tlaxcala","6.81"
"Tamaulipas","6.56"
"Ciudad de México","5.96"
"Aguascalientes","5.71"
"Zacatecas","5.26"
"Jalisco","4.05"
"Morelos","3.05"
"Quintana Roo","2.96"
"Veracruz de Ignacio de La Llave","2.86"
"Querétaro","2.56"
"Guerrero","2.56"
"Coahuila de Zaragoza","2.17"
"Hidalgo","2.14"
"Michoacán de Ocampo","1.89"
"Puebla","1.81"
"Sonora","1.68"
"Guanajuato","1.31"
"Baja California","0.96"
"Yucatán","0.92"
"México","0.90"
"Tabasco","0.54"
"San Luis Potosí","0.44"
"Campeche","0.00"
"Chiapas","0.00"
