"Estado","% Ocupación"
"Tlaxcala","9.52"
"Oaxaca","5.45"
"Baja California Sur","5.00"
"Guerrero","5.00"
"Nayarit","4.76"
"Chihuahua","4.12"
"Nuevo León","2.84"
"Ciudad de México","2.71"
"Querétaro","2.50"
"Jalisco","2.22"
"Sonora","2.00"
"Yucatán","1.75"
"Baja California","1.63"
"Sinaloa","1.58"
"México","1.56"
"Veracruz de Ignacio de La Llave","1.41"
"Tamaulipas","1.40"
"Tabasco","1.38"
"Michoacán de Ocampo","1.36"
"Guanajuato","1.34"
"Coahuila de Zaragoza","1.28"
"Quintana Roo","0.64"
"Chiapas","0.00"
"Campeche","0.00"
"Hidalgo","0.00"
"Aguascalientes","0.00"
"Zacatecas","0.00"
"Puebla","0.00"
"Morelos","0.00"
"Durango","0.00"
"San Luis Potosí","0.00"
"Colima","0.00"
