"Estado","% Ocupación"
"Coahuila de Zaragoza","50.00"
"Baja California","20.00"
"Puebla","11.76"
"Yucatán","10.00"
"Sinaloa","8.69"
"Tabasco","8.33"
"Durango","6.66"
"Tamaulipas","6.06"
"Chihuahua","4.16"
"Guanajuato","3.50"
"México","2.32"
"Ciudad de México","0.98"
"Jalisco","0.64"
"Tlaxcala","0.00"
"Baja California Sur","0.00"
"Quintana Roo","0.00"
"Guerrero","0.00"
"Veracruz de Ignacio de La Llave","0.00"
"San Luis Potosí","0.00"
"Nayarit","0.00"
"Michoacán de Ocampo","0.00"
"Oaxaca","0.00"
"Nuevo León","0.00"
"Chiapas","0.00"
"Hidalgo","0.00"
"Querétaro","0.00"
"Aguascalientes","0.00"
"Campeche","0.00"
"Zacatecas","0.00"
"Sonora","0.00"
"Morelos","0.00"
"Colima","0.00"
