"Estado","% Ocupación"
"Tlaxcala","10.00"
"Sonora","4.10"
"Jalisco","2.64"
"Aguascalientes","1.85"
"Yucatán","1.26"
"Hidalgo","1.25"
"Sinaloa","1.23"
"Tabasco","1.21"
"San Luis Potosí","0.95"
"Puebla","0.94"
"México","0.79"
"Ciudad de México","0.79"
"Michoacán de Ocampo","0.70"
"Guanajuato","0.63"
"Veracruz de Ignacio de La Llave","0.52"
"Baja California","0.45"
"Chihuahua","0.00"
"Guerrero","0.00"
"Tamaulipas","0.00"
"Nayarit","0.00"
"Oaxaca","0.00"
"Baja California Sur","0.00"
"Nuevo León","0.00"
"Quintana Roo","0.00"
"Chiapas","0.00"
"Coahuila de Zaragoza","0.00"
"Campeche","0.00"
"Querétaro","0.00"
"Colima","0.00"
"Zacatecas","0.00"
"Morelos","0.00"
"Durango","0.00"
