"Estado","% Ocupación"
"Durango","20.00"
"Sinaloa","14.03"
"Oaxaca","10.86"
"Tamaulipas","7.87"
"Zacatecas","7.69"
"Chihuahua","7.54"
"Querétaro","7.31"
"Baja California Sur","6.97"
"Tlaxcala","6.81"
"Nuevo León","6.46"
"Ciudad de México","5.14"
"Guerrero","5.12"
"Nayarit","5.00"
"Sonora","4.54"
"Jalisco","4.31"
"Colima","4.25"
"Aguascalientes","3.03"
"Puebla","2.99"
"Quintana Roo","2.98"
"Veracruz de Ignacio de La Llave","2.70"
"Guanajuato","1.91"
"Michoacán de Ocampo","1.64"
"Yucatán","1.54"
"Coahuila de Zaragoza","1.47"
"San Luis Potosí","1.31"
"Morelos","1.21"
"México","1.12"
"Baja California","0.72"
"Hidalgo","0.71"
"Campeche","0.34"
"Chiapas","0.00"
"Tabasco","0.00"
