"Estado","% Ocupación"
"Tlaxcala","12.00"
"Aguascalientes","5.97"
"Nuevo León","5.17"
"Jalisco","5.11"
"Sonora","5.08"
"Puebla","4.76"
"Querétaro","4.76"
"Ciudad de México","4.53"
"Sinaloa","3.96"
"Baja California Sur","2.56"
"México","2.40"
"Oaxaca","2.32"
"Yucatán","2.25"
"San Luis Potosí","2.10"
"Colima","1.85"
"Michoacán de Ocampo","1.76"
"Durango","1.56"
"Veracruz de Ignacio de La Llave","1.55"
"Tamaulipas","1.41"
"Hidalgo","1.33"
"Campeche","1.03"
"Guanajuato","0.91"
"Baja California","0.90"
"Zacatecas","0.90"
"Guerrero","0.73"
"Tabasco","0.62"
"Chihuahua","0.61"
"Chiapas","0.39"
"Quintana Roo","0.00"
"Nayarit","0.00"
"Coahuila de Zaragoza","0.00"
"Morelos","0.00"
