"Estado","% Ocupación"
"Colima","98.60"
"Guerrero","78.74"
"Puebla","75.76"
"Hidalgo","74.59"
"Veracruz de Ignacio de La Llave","73.47"
"Nuevo León","73.42"
"Nayarit","71.10"
"Ciudad de México","70.78"
"Durango","64.18"
"México","62.05"
"Tlaxcala","60.24"
"Sinaloa","57.25"
"Morelos","56.65"
"Jalisco","56.17"
"Oaxaca","55.50"
"Quintana Roo","50.84"
"Sonora","50.39"
"San Luis Potosí","49.71"
"Michoacán de Ocampo","48.67"
"Zacatecas","43.87"
"Aguascalientes","43.20"
"Querétaro","42.35"
"Tamaulipas","41.42"
"Tabasco","38.33"
"Coahuila de Zaragoza","37.72"
"Baja California","27.38"
"Baja California Sur","24.23"
"Chiapas","23.11"
"Guanajuato","21.38"
"Chihuahua","17.71"
"Yucatán","17.52"
"Campeche","12.86"
