"Estado","% Ocupación"
"Nayarit","100.00"
"Durango","100.00"
"Colima","100.00"
"Zacatecas","100.00"
"Tlaxcala","100.00"
"Oaxaca","92.30"
"Hidalgo","84.61"
"Morelos","80.00"
"Querétaro","80.00"
"Ciudad de México","79.59"
"Jalisco","74.91"
"Nuevo León","73.13"
"Veracruz de Ignacio de La Llave","70.10"
"Michoacán de Ocampo","69.23"
"San Luis Potosí","68.11"
"Yucatán","64.51"
"México","62.91"
"Tabasco","62.71"
"Puebla","61.53"
"Guerrero","54.66"
"Sinaloa","54.47"
"Aguascalientes","51.21"
"Sonora","51.11"
"Tamaulipas","50.00"
"Baja California Sur","50.00"
"Coahuila de Zaragoza","44.44"
"Guanajuato","43.85"
"Quintana Roo","37.09"
"Chihuahua","28.57"
"Baja California","17.64"
"Campeche","13.33"
"Chiapas","2.27"
