"Estado","% Ocupación"
"Querétaro","31.81"
"Tlaxcala","28.20"
"Ciudad de México","24.07"
"Aguascalientes","17.93"
"Hidalgo","17.34"
"Nuevo León","17.14"
"Morelos","16.00"
"Veracruz de Ignacio de La Llave","15.87"
"Jalisco","15.11"
"Oaxaca","14.70"
"México","13.23"
"Michoacán de Ocampo","12.82"
"Colima","11.76"
"Baja California","11.52"
"Tamaulipas","11.11"
"Sonora","10.14"
"Tabasco","8.94"
"Puebla","8.10"
"Chihuahua","7.24"
"Coahuila de Zaragoza","5.71"
"Guanajuato","5.36"
"San Luis Potosí","5.30"
"Zacatecas","5.17"
"Durango","5.08"
"Yucatán","5.05"
"Sinaloa","4.63"
"Baja California Sur","4.59"
"Nayarit","4.54"
"Chiapas","4.26"
"Guerrero","3.38"
"Quintana Roo","3.04"
"Campeche","2.52"
