"Estado","% Ocupación"
"Aguascalientes","46.06"
"Baja California","42.43"
"Puebla","38.10"
"Durango","34.57"
"Guanajuato","34.33"
"Chihuahua","34.29"
"Morelos","31.01"
"Querétaro","29.16"
"Sonora","28.84"
"Jalisco","27.74"
"Nuevo León","26.87"
"Ciudad de México","25.54"
"Sinaloa","25.52"
"Nayarit","25.00"
"Coahuila de Zaragoza","24.85"
"Quintana Roo","24.72"
"Hidalgo","24.46"
"Colima","23.91"
"Oaxaca","23.88"
"San Luis Potosí","23.35"
"México","22.66"
"Michoacán de Ocampo","22.53"
"Veracruz de Ignacio de La Llave","22.08"
"Tabasco","21.80"
"Tamaulipas","20.13"
"Guerrero","17.63"
"Tlaxcala","13.70"
"Chiapas","9.40"
"Yucatán","8.96"
"Zacatecas","8.57"
"Baja California Sur","7.97"
"Campeche","5.50"
