"Estado","% Ocupación"
"Morelos","44.49"
"Aguascalientes","43.54"
"Tamaulipas","41.74"
"Puebla","41.11"
"Coahuila de Zaragoza","39.61"
"Michoacán de Ocampo","38.46"
"Colima","38.46"
"Hidalgo","37.66"
"Sonora","36.99"
"Jalisco","36.58"
"Chihuahua","35.89"
"Tabasco","35.14"
"Veracruz de Ignacio de La Llave","34.38"
"Nayarit","34.14"
"México","33.19"
"Querétaro","32.57"
"Nuevo León","32.41"
"Guanajuato","32.28"
"Baja California","31.48"
"Ciudad de México","31.47"
"San Luis Potosí","30.24"
"Oaxaca","30.23"
"Tlaxcala","29.41"
"Sinaloa","28.22"
"Durango","26.47"
"Guerrero","25.32"
"Quintana Roo","25.12"
"Zacatecas","19.14"
"Yucatán","15.45"
"Chiapas","10.80"
"Campeche","10.50"
"Baja California Sur","5.40"
