"Estado","% Ocupación"
"Nayarit","75.41"
"Ciudad de México","68.85"
"Durango","68.51"
"Colima","65.55"
"Guerrero","64.90"
"Nuevo León","61.29"
"Sinaloa","59.15"
"Veracruz de Ignacio de La Llave","58.37"
"Hidalgo","57.65"
"Quintana Roo","51.90"
"Sonora","51.08"
"Jalisco","47.44"
"México","45.76"
"Morelos","43.87"
"Oaxaca","42.36"
"Baja California Sur","41.37"
"Tlaxcala","40.00"
"Puebla","39.48"
"Zacatecas","38.38"
"Tamaulipas","35.70"
"Querétaro","32.40"
"Michoacán de Ocampo","30.48"
"San Luis Potosí","29.31"
"Aguascalientes","27.52"
"Tabasco","24.01"
"Coahuila de Zaragoza","23.57"
"Chiapas","20.61"
"Baja California","18.37"
"Chihuahua","18.09"
"Yucatán","17.08"
"Guanajuato","10.94"
"Campeche","7.95"
