"Estado","% Ocupación"
"Tlaxcala","100.00"
"Zacatecas","100.00"
"Colima","100.00"
"Michoacán de Ocampo","95.00"
"Morelos","93.33"
"Querétaro","90.00"
"Oaxaca","89.47"
"Nuevo León","85.18"
"Coahuila de Zaragoza","75.00"
"Yucatán","75.00"
"Durango","74.07"
"Jalisco","69.58"
"Aguascalientes","67.74"
"San Luis Potosí","66.12"
"Puebla","65.59"
"Ciudad de México","65.09"
"Tabasco","64.07"
"Tamaulipas","61.66"
"México","57.41"
"Sinaloa","56.43"
"Veracruz de Ignacio de La Llave","54.71"
"Guanajuato","51.78"
"Hidalgo","42.42"
"Sonora","41.30"
"Baja California Sur","40.00"
"Guerrero","34.92"
"Quintana Roo","33.33"
"Chihuahua","20.75"
"Baja California","19.35"
"Chiapas","7.50"
"Campeche","6.66"
"Nayarit","0.00"
