"Estado","% Ocupación"
"Morelos","100.00"
"Zacatecas","100.00"
"Coahuila de Zaragoza","100.00"
"Querétaro","90.00"
"Yucatán","65.51"
"Aguascalientes","64.51"
"Puebla","63.52"
"Michoacán de Ocampo","55.55"
"Colima","50.00"
"Tabasco","46.56"
"Veracruz de Ignacio de La Llave","46.25"
"Guanajuato","46.03"
"Tamaulipas","45.74"
"Ciudad de México","41.69"
"Jalisco","40.76"
"México","38.73"
"Tlaxcala","37.50"
"Nuevo León","32.93"
"Durango","30.18"
"Oaxaca","24.13"
"Chiapas","23.40"
"Sinaloa","23.07"
"Sonora","22.85"
"San Luis Potosí","22.64"
"Baja California","22.58"
"Quintana Roo","17.64"
"Chihuahua","16.66"
"Hidalgo","15.62"
"Campeche","3.12"
"Guerrero","0.00"
"Baja California Sur","0.00"
"Nayarit","0.00"
