"Estado","% Ocupación"
"Tlaxcala","16.00"
"Aguascalientes","7.35"
"Sonora","6.66"
"Ciudad de México","6.57"
"Querétaro","6.34"
"Nuevo León","5.58"
"Puebla","4.54"
"Jalisco","4.22"
"Nayarit","3.33"
"Yucatán","2.87"
"Baja California Sur","2.56"
"Oaxaca","2.43"
"México","2.14"
"Chihuahua","2.00"
"San Luis Potosí","1.94"
"Sinaloa","1.92"
"Colima","1.88"
"Michoacán de Ocampo","1.81"
"Durango","1.53"
"Tamaulipas","1.27"
"Hidalgo","1.21"
"Campeche","1.02"
"Veracruz de Ignacio de La Llave","1.01"
"Guanajuato","0.97"
"Baja California","0.90"
"Zacatecas","0.90"
"Chiapas","0.80"
"Guerrero","0.73"
"Tabasco","0.62"
"Quintana Roo","0.00"
"Morelos","0.00"
"Coahuila de Zaragoza","0.00"
