"Estado","% Ocupación"
"Colima","100.00"
"Zacatecas","92.00"
"Querétaro","85.71"
"Yucatán","72.00"
"Nuevo León","70.93"
"Michoacán de Ocampo","66.66"
"Oaxaca","65.78"
"Durango","65.38"
"Tabasco","61.53"
"México","59.52"
"Veracruz de Ignacio de La Llave","58.44"
"Tamaulipas","57.79"
"Ciudad de México","57.18"
"Jalisco","51.87"
"Aguascalientes","51.61"
"San Luis Potosí","51.11"
"Tlaxcala","50.00"
"Guanajuato","49.12"
"Puebla","46.83"
"Coahuila de Zaragoza","42.85"
"Morelos","42.85"
"Sinaloa","38.75"
"Hidalgo","35.29"
"Sonora","31.70"
"Chihuahua","25.00"
"Quintana Roo","23.21"
"Baja California","22.58"
"Guerrero","20.00"
"Campeche","10.00"
"Chiapas","9.52"
"Nayarit","0.00"
"Baja California Sur","0.00"
