"Estado","% Ocupación"
"Baja California","47.30"
"Aguascalientes","41.66"
"Chihuahua","36.58"
"Puebla","34.40"
"Guanajuato","32.37"
"Nuevo León","30.41"
"Sonora","30.15"
"Morelos","29.54"
"Nayarit","27.72"
"Querétaro","25.87"
"Jalisco","25.83"
"Coahuila de Zaragoza","25.48"
"Durango","24.18"
"Ciudad de México","22.63"
"Sinaloa","22.54"
"Michoacán de Ocampo","20.93"
"Oaxaca","19.81"
"San Luis Potosí","19.44"
"México","19.28"
"Tamaulipas","19.09"
"Veracruz de Ignacio de La Llave","18.47"
"Tabasco","18.11"
"Colima","17.77"
"Quintana Roo","16.81"
"Guerrero","15.61"
"Hidalgo","14.66"
"Zacatecas","14.28"
"Tlaxcala","13.39"
"Chiapas","9.31"
"Yucatán","7.58"
"Baja California Sur","6.38"
"Campeche","4.65"
