"Estado","% Ocupación"
"Colima","82.35"
"Tabasco","71.07"
"Nayarit","68.37"
"Hidalgo","66.40"
"Ciudad de México","66.00"
"Tlaxcala","61.90"
"Nuevo León","60.17"
"Oaxaca","58.20"
"Veracruz de Ignacio de La Llave","56.75"
"Jalisco","55.79"
"México","50.42"
"Aguascalientes","46.49"
"San Luis Potosí","46.01"
"Morelos","45.58"
"Durango","44.82"
"Michoacán de Ocampo","40.84"
"Puebla","40.08"
"Guerrero","39.51"
"Sonora","38.96"
"Querétaro","35.68"
"Tamaulipas","33.76"
"Sinaloa","33.08"
"Yucatán","32.96"
"Zacatecas","30.88"
"Baja California Sur","28.34"
"Coahuila de Zaragoza","24.26"
"Baja California","22.47"
"Quintana Roo","20.96"
"Chiapas","17.09"
"Campeche","15.03"
"Chihuahua","12.40"
"Guanajuato","9.92"
