"Estado","% Ocupación"
"Aguascalientes","38.23"
"Querétaro","37.39"
"Nuevo León","34.92"
"Sinaloa","28.11"
"Chihuahua","21.91"
"Veracruz de Ignacio de La Llave","21.13"
"Hidalgo","20.09"
"Ciudad de México","20.04"
"Colima","18.34"
"Tlaxcala","18.18"
"Baja California Sur","17.82"
"Puebla","17.01"
"Jalisco","16.36"
"Sonora","16.08"
"Nayarit","15.45"
"México","15.11"
"Oaxaca","14.28"
"Baja California","12.56"
"Guerrero","12.10"
"Michoacán de Ocampo","11.75"
"San Luis Potosí","11.27"
"Durango","11.22"
"Morelos","10.58"
"Zacatecas","10.00"
"Tamaulipas","9.86"
"Coahuila de Zaragoza","8.93"
"Tabasco","7.39"
"Guanajuato","6.96"
"Chiapas","5.79"
"Yucatán","3.03"
"Quintana Roo","2.72"
"Campeche","1.64"
