"Estado","% Ocupación"
"Chihuahua","62.01"
"Baja California","45.99"
"Aguascalientes","43.04"
"Sonora","42.77"
"Coahuila de Zaragoza","38.23"
"Durango","31.25"
"Nuevo León","29.30"
"Sinaloa","27.74"
"San Luis Potosí","18.94"
"Puebla","17.15"
"Guanajuato","16.62"
"Tamaulipas","16.36"
"Zacatecas","13.18"
"Hidalgo","13.17"
"Jalisco","11.62"
"Oaxaca","11.51"
"Ciudad de México","9.69"
"Quintana Roo","8.44"
"México","8.19"
"Nayarit","7.05"
"Veracruz de Ignacio de La Llave","6.88"
"Querétaro","6.85"
"Michoacán de Ocampo","5.34"
"Morelos","4.47"
"Baja California Sur","4.08"
"Guerrero","2.84"
"Tabasco","2.07"
"Colima","1.92"
"Yucatán","1.63"
"Campeche","1.33"
"Chiapas","0.99"
"Tlaxcala","0.00"
