"Estado","% Ocupación"
"Aguascalientes","66.66"
"Ciudad de México","62.14"
"Nuevo León","60.59"
"Chihuahua","58.90"
"Durango","58.72"
"Zacatecas","55.24"
"Hidalgo","55.20"
"Querétaro","54.28"
"Puebla","52.80"
"Coahuila de Zaragoza","52.51"
"Sonora","51.41"
"San Luis Potosí","51.25"
"Colima","48.88"
"Tamaulipas","47.69"
"Morelos","46.61"
"México","46.55"
"Jalisco","46.30"
"Nayarit","44.36"
"Baja California","43.38"
"Sinaloa","43.08"
"Oaxaca","41.73"
"Guanajuato","41.30"
"Guerrero","41.04"
"Veracruz de Ignacio de La Llave","33.92"
"Baja California Sur","31.09"
"Michoacán de Ocampo","30.44"
"Tabasco","29.37"
"Tlaxcala","25.95"
"Quintana Roo","22.78"
"Yucatán","15.30"
"Campeche","7.72"
"Chiapas","6.17"
