"Estado","% Ocupación"
"Zacatecas","94.44"
"Querétaro","89.47"
"Aguascalientes","64.51"
"Baja California","64.28"
"Yucatán","63.63"
"Tabasco","60.50"
"Puebla","56.32"
"Ciudad de México","54.32"
"México","51.64"
"Tlaxcala","50.00"
"Tamaulipas","50.00"
"Michoacán de Ocampo","42.85"
"Guanajuato","42.85"
"Jalisco","42.51"
"Nuevo León","41.87"
"Coahuila de Zaragoza","40.00"
"Chihuahua","38.18"
"San Luis Potosí","37.77"
"Durango","37.73"
"Veracruz de Ignacio de La Llave","35.71"
"Colima","30.76"
"Morelos","27.27"
"Sinaloa","24.59"
"Oaxaca","20.00"
"Chiapas","17.39"
"Hidalgo","15.15"
"Quintana Roo","15.15"
"Baja California Sur","14.28"
"Sonora","11.53"
"Guerrero","10.71"
"Campeche","0.00"
"Nayarit","0.00"
