"Estado","% Ocupación"
"Hidalgo","39.07"
"Ciudad de México","39.03"
"Querétaro","38.24"
"Aguascalientes","37.37"
"Baja California Sur","37.34"
"Nuevo León","37.12"
"Veracruz de Ignacio de La Llave","32.55"
"Oaxaca","31.94"
"Sonora","31.92"
"Colima","28.43"
"Jalisco","28.32"
"Durango","26.94"
"Morelos","26.87"
"Tamaulipas","26.01"
"Chihuahua","25.60"
"México","24.60"
"Michoacán de Ocampo","24.26"
"Coahuila de Zaragoza","23.16"
"Baja California","23.11"
"San Luis Potosí","23.10"
"Sinaloa","22.61"
"Puebla","22.50"
"Guanajuato","20.48"
"Nayarit","20.31"
"Tlaxcala","19.69"
"Guerrero","19.56"
"Zacatecas","18.04"
"Tabasco","15.15"
"Quintana Roo","10.11"
"Yucatán","8.31"
"Chiapas","8.01"
"Campeche","4.23"
