"Estado","% Ocupación"
"Aguascalientes","41.66"
"Chihuahua","23.01"
"Nuevo León","19.57"
"Baja California Sur","19.04"
"Tlaxcala","16.32"
"Querétaro","16.19"
"Ciudad de México","16.09"
"Colima","13.84"
"Sinaloa","13.46"
"Oaxaca","13.18"
"Durango","10.78"
"Puebla","9.91"
"Veracruz de Ignacio de La Llave","8.48"
"Baja California","7.98"
"Coahuila de Zaragoza","7.73"
"Jalisco","7.43"
"Guerrero","7.42"
"Hidalgo","7.31"
"Tamaulipas","6.64"
"Sonora","5.66"
"México","5.09"
"Guanajuato","4.40"
"Morelos","4.32"
"Michoacán de Ocampo","4.10"
"San Luis Potosí","3.75"
"Zacatecas","3.48"
"Yucatán","2.74"
"Tabasco","2.61"
"Chiapas","2.55"
"Nayarit","2.38"
"Quintana Roo","2.25"
"Campeche","0.77"
