"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Hospital General Tula","Hidalgo","SSA","HGSSA015532","100"
"Hgz 30 Mexicali","Baja California","IMSS","BCIMS000122","100"
"Hgzmf 1 La Paz","Baja California Sur","IMSS","BSIMS000113","100"
"Bicentenario de La Independencia","México","ISSSTE","MCIST000425","100"
"Hospital de Especialidades de Chetumal","Quintana Roo","SSA","QRSSA001843","100"
"Hospital General Las Américas","México","SSA","MCSSA010280","100"
"Hospital General Pichucalco","Chiapas","SSA","CSSSA004945","100"
"Hospital General del Estado Dr. Ernesto Ramos Bours","Sonora","SSA","SRSSA001110","100"
"Hgz 24 Insurgentes","Ciudad de México","IMSS","DFIMS000225","100"
"Hospital General Bicentenario Villaflores","Chiapas","SSA","CSSSA018875","100"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","100"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","100"
"Dr. Dario Fernandez Fierro","Ciudad de México","ISSSTE","DFIST000324","100"
"Dr. Belisario Dominguez","Chiapas","ISSSTE","CSIST000251","100"
"Hospital General Dr. Manuel Gea González","Ciudad de México","SSA/CC","DFSSA003961","100"
"20 de Noviembre","Ciudad de México","ISSSTE","DFIST000312","100"
"Instituto Nacional de Ciencias Médicas Y Nutrición Salvador Zubirán","Ciudad de México","SSA/CC","DFSSA004055","100"
"Hospital General Ajusco Medio","Ciudad de México","SSA","DFSSA018166","100"
"Hes Cm La Raza","Ciudad de México","IMSS","DFIMS000020","100"
"Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas","Ciudad de México","SSA/CC","DFSSA004026","100"
"Hg Dr. Miguel Silva","Michoacán de Ocampo","SSA","MNSSA001891","100"
"Centenario de La Revolucion Mexicana","Morelos","ISSSTE","MSIST000293","100"
"Hospital General Acapulco","Guerrero","SSA","GRSSA000010","100"
"Hgz 1 Tlaxcala","Tlaxcala","IMSS","TLIMS000136","100"
"Hgz No. 48 San Pedro Xalpa","Ciudad de México","IMSS","DFIMS000831","100"
"Hgz 1 Oaxaca","Oaxaca","IMSS","OCIMS000136","100"
"Hospital Regional de Alta Especialidad de Oaxaca","Oaxaca","SSA/CC","OCSSA007483","100"
"Hg Apatzingan","Michoacán de Ocampo","SSA","MNSSA017400","100"
"Hg Ciudad Ixtepec","Oaxaca","SSA","OCSSA016764","100"
"Hospital Militar de Zona de Guadalupe Zac.","Zacatecas","SEDENA","ZSSDN000016","100"
"Hospital General Torreón (Baja)","Coahuila de Zaragoza","SSA","CLSSA001614","100"
"Hospital de Alta Especialidad de Veracruz","Veracruz de Ignacio de La Llave","SSA","VZSSA006972","100"
"Hospital General de Valladolid","Yucatán","SSA","YNSSA013440","100"
"Hg Tuxtepec","Oaxaca","SSA","OCSSA002146","100"
"Hes Puebla","Puebla","IMSS","PLIMS000200","100"
"Hgz No. 20","Puebla","IMSS","PLIMS000586","100"
"Veracruz","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000301","100"
"Clínica de La Mujer San Cristóbal de Las Casas","Chiapas","SSA","CSSSA019090","100"
"Hospital General de Chalco","México","SSA","MCSSA001682","100"
"Hgz 30 Iztacalco","Ciudad de México","IMSS","DFIMS000324","100"
"Gomez Palacio","Durango","ISSSTE","DGIST000054","100"
"Hgz 71 Verac","Veracruz de Ignacio de La Llave","IMSS","VZIMS001124","100"
"Hospital General Atlacomulco","México","SSA","MCSSA010123","100"
"Hospital General Dr. Raymundo Abarca Alarcón","Guerrero","SSA","GRSSA009950","100"
"Toluca","México","ISSSTE","MCIST000215","100"
"Acapulco","Guerrero","ISSSTE","GRIST000025","100"
"Hgz 58 Las Margaritas","México","IMSS","MCIMS000734","100"
"Hes 1 Merida","Yucatán","IMSS","YNIMS000071","100"
"Hospital General Queretaro","Querétaro","SSA","QTSSA001752","100"
"Hg Cm La Raza","Ciudad de México","IMSS","DFIMS000061","96"
"Hospital Regional de Alta Especialidad Ixtapaluca","México","SSA/CC","MCSSA018786","95"
"Centro Médico Issemym Lic. Arturo Montiel Rojas Issemym","México","SME","MCSME000921","91"
"Enfermería Militar de Temamatla Mex.","México","SEDENA","MCSDN000011","90"
"19 Tuxtla","Chiapas","SSA","CSSSA009471","89"
"Hospital General de México","Ciudad de México","SSA/CC","DFSSA003973","89"
"Rafael Lucio","Veracruz de Ignacio de La Llave","SSA","VZSSA004855","89"
"Hospital General de Soledad de Graciano Sánchez","San Luis Potosí","SSA","SPSSA017313","88"
"Hospital Central Militar","Ciudad de México","SEDENA","DFSDN000086","87"
"Gral. Ignacio Zaragoza","Ciudad de México","ISSSTE","DFIST000160","85"
"Hospital Central del Estado","Chihuahua","SSA","CHSSA000676","85"
"Hes Cmn Siglo Xxi","Ciudad de México","IMSS","DFIMS000580","84"
"Hospital Central Norte","Ciudad de México","PEMEX","DFPMX000012","83"
"Hg de Cuernavaca Dr. Jose G. Parres","Morelos","SSA","MSSSA000466","83"
"Hospital General Tijuana","Baja California","SSA","BCSSA000913","81"
"Hospital Juárez de México","Ciudad de México","SSA/CC","DFSSA003944","80"
"Hgr 270 Reynosa","Tamaulipas","IMSS","TSIMS000533","78"
"Hgr 251 Metepec","México","IMSS","MCIMS001185","75"
"Hgz 14 C/unidad Quemados","Sonora","IMSS","SRIMS000900","75"
"Hgzmf 36 Coatzacoalcos","Veracruz de Ignacio de La Llave","IMSS","VZIMS000231","75"
"Hgr 196 Fidel Velazquez","México","IMSS","MCIMS000244","75"
"Hes 14 Cmn Verac","Veracruz de Ignacio de La Llave","IMSS","VZIMS001112","75"
"Hes Oblatos","Jalisco","IMSS","JCIMS000301","75"
"Hospital Militar de Zona de Mexicali B. C.","Baja California","SEDENA","BCSDN000012","75"
"Hgz 18 Playa del Carmen","Quintana Roo","IMSS","QRIMS000154","75"
"Hgr 66 Cd. Juárez","Chihuahua","IMSS","CHIMS000573","75"
"Hgr 110 Oblatos","Jalisco","IMSS","JCIMS000354","75"
"Hgz 3 Cancun","Quintana Roo","IMSS","QRIMS000060","75"
"Hgz 1 Carlos Mcgregor","Ciudad de México","IMSS","DFIMS000534","71"
"Hgr 72 Gustavo Baz","México","IMSS","MCIMS000746","71"
"Hospital General Caborca","Sonora","SSA","SRSSA000504","71"
"Hes 71 Torreon","Coahuila de Zaragoza","IMSS","CLIMS000490","71"
