"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Instituto Nacional de Perinatología Isidro Espinosa de Los Reyes","Ciudad de México","SSA/CC","DFSSA004096","100"
"Hgz 67 Apodaca","Nuevo León","IMSS","NLIMS000636","100"
"Hospital Comunitario Santa Cruz de Juventino Rosas","Guanajuato","SSA","GTSSA016842","100"
"Villa Ocaranza","Hidalgo","SSA","HGSSA003941","100"
"Hg Oaxaca Dr. Aurelio Valdivieso","Oaxaca","SSA","OCSSA000985","100"
"Hgz 1 Oaxaca","Oaxaca","IMSS","OCIMS000136","100"
"Hgr 251 Metepec","México","IMSS","MCIMS001185","100"
"Hospital de Especialidades de La Mujer","Oaxaca","SSA","OCSSA007705","100"
"Hospital General de Zona No 33","Nayarit","IMSS","NTIMS000342","100"
"Hgr 220 Toluca","México","IMSS","MCIMS000816","100"
"Hospital Comunitario Las Joyas","Guanajuato","SSA","GTSSA005613","100"
"Hgr 196 Fidel Velazquez","México","IMSS","MCIMS000244","100"
"Hospital General de Saltillo","Coahuila de Zaragoza","SSA","CLSSA002734","100"
"Dra. Columba Rivera Osorio","Hidalgo","ISSSTE","HGIST000106","100"
"Cd. del Carmen","Campeche","ISSSTE","CCIST000033","100"
"Hgzmf 18 Torreon","Coahuila de Zaragoza","IMSS","CLIMS000444","100"
"Hgz 58 Las Margaritas","México","IMSS","MCIMS000734","100"
"Hes Puebla","Puebla","IMSS","PLIMS000200","100"
"Hospital General Dr. Enrique Cabrera","Ciudad de México","SSA","DFSSA017886","100"
"Hospital General de Zona No. 10","Colima","IMSS","CMIMS000133","100"
"Dr. Fernando Quiroz Gutierrez","Ciudad de México","ISSSTE","DFIST000196","100"
"Gomez Palacio","Durango","ISSSTE","DGIST000054","100"
"Mazatlan","Sinaloa","ISSSTE","SLIST000196","100"
"Hospital Militar de Zona de Santa María Rayón","México","SEDENA","MCSDN000385","100"
"Morelia","Michoacán de Ocampo","ISSSTE","MNIST000120","100"
"Hg Juchitan Dr. Macedonio Benitez Fuentes","Oaxaca","SSA","OCSSA007693","100"
"Los Mochis","Sinaloa","ISSSTE","SLIST000015","100"
"Hospital Militar Regional de Mérida Yuc.","Yucatán","SEDENA","YNSDN000014","100"
"20 de Noviembre","Ciudad de México","ISSSTE","DFIST000312","100"
"Tehuantepec","Oaxaca","ISSSTE","OCIST000252","100"
"Guaymas","Sonora","ISSSTE","SRIST000104","100"
"Hg de Jojutla Dr. Ernesto Meana San Román","Morelos","SSA","MSSSA000961","100"
"Hgz 30 Iztacalco","Ciudad de México","IMSS","DFIMS000324","100"
"Hgzmf 10 S. Ixcuintla","Nayarit","IMSS","NTIMS000144","100"
"Hospital Comunitario Jaral del Progreso","Guanajuato","SSA","GTSSA017426","100"
"Veracruz","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000301","100"
"Hospital Comunitario Moroleón","Guanajuato","SSA","GTSSA017443","100"
"Dr. Patricio Trueba Regil","Campeche","ISSSTE","CCIST000021","100"
"Hgz 71 Verac","Veracruz de Ignacio de La Llave","IMSS","VZIMS001124","100"
"Acapulco","Guerrero","ISSSTE","GRIST000025","100"
"Hospital General 450","Durango","SSA","DGSSA017872","100"
"Hgz 194 El Molinito","México","IMSS","MCIMS000326","100"
"San Luis Rio Colorado","Sonora","ISSSTE","SRIST000203","100"
"Hospital General de Axapusco","México","SSA","MCSSA014143","100"
"Dr. Belisario Dominguez","Chiapas","ISSSTE","CSIST000251","100"
"Huejutla de Reyes","Hidalgo","ISSSTE","HGIST000041","100"
"Dr. Aquiles Calles Ramirez","Nayarit","ISSSTE","NTIST000120","100"
"Hgz 2 Tuxtla Gutiérrez","Chiapas","IMSS","CSIMS000251","100"
"Tuxtepec","Oaxaca","ISSSTE","OCIST000165","100"
"Hg Puerto Escondido","Oaxaca","SSA","OCSSA020030","100"
"H.g. Jilotepec","México","SSA","MCSSA010053","100"
"Pinotepa Nacional","Oaxaca","ISSSTE","OCIST000240","100"
"Hospital General Pabellón de Arteaga","Aguascalientes","SSA","ASSSA000614","100"
"Hospital General de Valladolid","Yucatán","SSA","YNSSA013440","100"
"5 de Diciembre","Baja California","ISSSTE","BCIST000040","100"
"Hgz 8 Caborca","Sonora","IMSS","SRIMS000116","100"
"Hg Adolfo Prieto","Guerrero","SSA","GRSSA012535","100"
"Aguascalientes","Aguascalientes","ISSSTE","ASIST000016","100"
"Hgzmf 4 Iguala","Guerrero","IMSS","GRIMS000112","100"
"Zamora","Michoacán de Ocampo","ISSSTE","MNIST000226","100"
"Dr. Baudelio Villanueva","Tamaulipas","ISSSTE","TSIST000100","100"
"Hospital Real San José S.c","Jalisco","SMP","JCSMP000313","100"
"Enfermería Militar de Zapopan Jal.","Jalisco","SEDENA","JCSDN000034","100"
"Chetumal","Quintana Roo","ISSSTE","QRIST000043","100"
"Hospital General de Chetumal","Quintana Roo","SSA","QRSSA000373","100"
"Hgr 270 Reynosa","Tamaulipas","IMSS","TSIMS000533","100"
"Hospital General San Felipe del Progreso","México","SSA","MCSSA005095","100"
"Leon","Guanajuato","ISSSTE","GTIST000091","100"
"Hgr 20 Tijuana","Baja California","IMSS","BCIMS000262","100"
"Hospital General Ajusco Medio","Ciudad de México","SSA","DFSSA018166","100"
"Hospital Regional de Alta Especialidad del Bajío","Guanajuato","SSA/CC","GTSSA016796","100"
"Hgz 71 Chalco","México","IMSS","MCIMS000145","100"
"Centro Médico Lic. Adolfo López Mateos","México","SSA","MCSSA010222","99"
"Hgz No. 20","Puebla","IMSS","PLIMS000586","99"
"Centro Médico Issemym Lic. Arturo Montiel Rojas Issemym","México","SME","MCSME000921","98"
