"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"H.g. Dr. Nicolás San Juan","México","SSA","MCSSA007661","100"
"Hospital General Tula","Hidalgo","SSA","HGSSA015532","100"
"Hgz 68 Tulpetlac","México","IMSS","MCIMS000990","100"
"Dr. Miguel Trejo Ochoa","Colima","ISSSTE","CMIST000010","100"
"Hgz No. 20","Puebla","IMSS","PLIMS000586","100"
"Hospital de Especialidades de Chetumal","Quintana Roo","SSA","QRSSA001843","100"
"Hgz 3 Navojoa","Sonora","IMSS","SRIMS000541","100"
"Hospital General Navojoa","Sonora","SSA","SRSSA001670","100"
"Hospital Militar Regional de Mérida Yuc.","Yucatán","SEDENA","YNSDN000014","100"
"Hospital General del Valle del Mezquital Ixmiquilpan","Hidalgo","SSA","HGSSA001590","100"
"Hospital General Regional No. 2 El Marques","Querétaro","IMSS","QTIMS000285","100"
"Cessa Maximiliano Dorantes","Tabasco","SSA","TCSSA001245","100"
"Hospital Militar Regional de Irapuato Gto.","Guanajuato","SEDENA","GTSDN000010","100"
"HG Chilapa de Álvarez","Guerrero","SSA","GRSSA003423","100"
"Hospital General Dr. Raymundo Abarca Alarcón","Guerrero","SSA","GRSSA009950","100"
"Leon","Guanajuato","ISSSTE","GTIST000091","100"
"Hospital Militar de Zona de Mexicali B. C.","Baja California","SEDENA","BCSDN000012","100"
"Hospital General de Gómez Palacio","Durango","SSA","DGSSA000676","100"
"Dr. Jose Ma. Rodriguez","Coahuila de Zaragoza","ISSSTE","CLIST000106","100"
"Instituto Nacional de Ciencias Médicas Y Nutrición Salvador Zubirán","Ciudad de México","SSA/CC","DFSSA004055","100"
"Hospital General Ixtlahuaca Valentin Gómez Farías","México","SSA","MCSSA002872","100"
"Hgz 1 Oaxaca","Oaxaca","IMSS","OCIMS000136","100"
"Presidente Benito Juarez","Oaxaca","ISSSTE","OCIST000112","100"
"Hg Oaxaca Dr. Aurelio Valdivieso","Oaxaca","SSA","OCSSA000985","100"
"Hospital General San Francisco","Nayarit","SSA","NTSSA002084","100"
"Celaya","Guanajuato","ISSSTE","GTIST000045","100"
"Dr. Bernardo Sepulveda Gutiérrez","Guerrero","SSA","GRSSA004753","100"
"Hospital Real San José S.c","Jalisco","SMP","JCSMP000313","100"
"Ocosingo","Chiapas","ISSSTE","CSIST000140","100"
"Hgz 17 Monterrey","Nuevo León","IMSS","NLIMS000356","100"
"Ocozocoautla de Espinosa","Chiapas","IMSS-BIENESTAR","CSIMO003081","100"
"Dr. Belisario Dominguez","Chiapas","ISSSTE","CSIST000251","100"
"19 Villaflores","Chiapas","SSA","CSSSA009500","100"
"Xalapa","Veracruz de Ignacio de La Llave","ISSSTE","VZIST000120","100"
"Hospital General Miguel Hidalgo Y Costilla Bicentenario","México","SSA","MCSSA005730","100"
"Gral. Jose Maria Morelos Y Pavon","Ciudad de México","ISSSTE","DFIST000155","100"
"Tampico","Tamaulipas","ISSSTE","TSIST000182","100"
"Hospital Regional Cd. Madero","Tamaulipas","PEMEX","TSPMX000010","100"
"Hgr 6 Cd. Madero","Tamaulipas","IMSS","TSIMS000071","100"
"Hospital General Ixtapan de La Sal","México","SSA","MCSSA010251","100"
"Hospital Regional de Ciudad Guzman","Jalisco","SSA","JCSSA001326","100"
"Hospital de Alta Especialidad de Veracruz","Veracruz de Ignacio de La Llave","SSA","VZSSA006972","100"
"Hospital Naval de Mazatlan","Sinaloa","SEMAR","SLSMA000022","100"
"Tacuba","Ciudad de México","ISSSTE","DFIST000534","100"
"Hgr 251 Metepec","México","IMSS","MCIMS001185","100"
"Hospital Para El Niño Imiem","México","SME","MCSME000011","100"
