"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Hg Putla Amigo del Niño Y de La Madre","Oaxaca","SSA","OCSSA020655","100"
"Zacatecas","Zacatecas","ISSSTE","ZSIST000160","100"
"Hgzmf 12 Lazaro Cardenas","Michoacán de Ocampo","IMSS","MNIMS000161","100"
"Hospital Comunitario Jaral del Progreso","Guanajuato","SSA","GTSSA017426","100"
"Bicentenario de La Independencia","México","ISSSTE","MCIST000425","100"
"Dra. Columba Rivera Osorio","Hidalgo","ISSSTE","HGIST000106","100"
"20 de Noviembre","Ciudad de México","ISSSTE","DFIST000312","100"
"Dr. Dario Fernandez Fierro","Ciudad de México","ISSSTE","DFIST000324","100"
"Nueva Rosita","Coahuila de Zaragoza","ISSSTE","CLIST000193","100"
"Hgzmf 2 Monterrey","Nuevo León","IMSS","NLIMS000373","100"
"Hospital General de San Luis Río Colorado","Sonora","SSA","SRSSA002085","100"
"Hospital Naval de Acapulco","Guerrero","SEMAR","GRSMA000015","100"
"Rioverde","San Luis Potosí","ISSSTE","SPIST000096","100"
"Hgzmf 2 Zacapu","Michoacán de Ocampo","IMSS","MNIMS000494","100"
"Hospital General de Zona No.252","México","IMSS","MCIMS001200","100"
"Tacuba","Ciudad de México","ISSSTE","DFIST000534","100"
"Doctors Hospital","Nuevo León","SMP","NLSMP001085","100"
"Hospital General de Manzanillo","Colima","SSA","CMSSA001356","100"
"Hospital General Dr. Rubén Leñero","Ciudad de México","SSA","DFSSA003553","100"
"Hospital Naval de Mazatlan","Sinaloa","SEMAR","SLSMA000022","100"
"Hgz 71 Chalco","México","IMSS","MCIMS000145","100"
"Hospital General de Mazatlán","Sinaloa","SSA","SLSSA002585","100"
"Fresnillo","Zacatecas","ISSSTE","ZSIST000032","100"
"Zamora","Michoacán de Ocampo","ISSSTE","MNIST000226","100"
"Mazatlan","Sinaloa","ISSSTE","SLIST000196","100"
"Hgzmf 21 Leon","Guanajuato","IMSS","GTIMS000243","100"
"Tampico","Tamaulipas","ISSSTE","TSIST000182","100"
"Hc Tuzantla","Michoacán de Ocampo","SSA","MNSSA016504","100"
"Dr. Fernando Quiroz Gutierrez","Ciudad de México","ISSSTE","DFIST000196","100"
"Hgz 1 Tepic","Nayarit","IMSS","NTIMS000190","100"
"Dr. Aquiles Calles Ramirez","Nayarit","ISSSTE","NTIST000120","100"
"Hg Pochutla","Oaxaca","SSA","OCSSA003715","100"
"Pinos","Zacatecas","IMSS-BIENESTAR","ZSIMO000820","100"
"Hospital General Pabellón de Arteaga","Aguascalientes","SSA","ASSSA000614","100"
"Hospital General Agustín O´horán","Yucatán","SSA","YNSSA000565","100"
"Centro de Alta Especialidad  Dr. Rafael Lucio","Veracruz de Ignacio de La Llave","SSA","VZSSA002965","100"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","100"
"Celaya","Guanajuato","ISSSTE","GTIST000045","100"
"6/o. Regimiento de Artillería","Oaxaca","SEDENA","OCSDN000224","100"
"Hgzmf 4 Cd. Carmen","Campeche","IMSS","CCIMS000045","100"
"Hospital Especializado de 30 Camas de Juchitan","Oaxaca","SSA","OCSSA007915","100"
"Hgzmf 5 Zacatepec","Morelos","IMSS","MSIMS000235","100"
"Ixmiquilpan","Hidalgo","ISSSTE","HGIST000065","100"
"Hospital Comunitario Apaseo El Alto","Guanajuato","SSA","GTSSA017402","100"
"Hospital General Pénjamo","Guanajuato","SSA","GTSSA002760","100"
"Hospital Comunitario Apaseo El Grande","Guanajuato","SSA","GTSSA000585","100"
"Enfermería Militar de Zapopan Jal.","Jalisco","SEDENA","JCSDN000034","100"
"Hospital General de Gómez Palacio","Durango","SSA","DGSSA000676","100"
"Hospital Regional de Delicias","Chihuahua","SSA","CHSSA001026","100"
"Instituto Nacional de Neurología Y Neurocirugía Manuel Velasco Suárez","Ciudad de México","SSA/CC","DFSSA004060","100"
"Hgzmf 2 Irapuato","Guanajuato","IMSS","GTIMS000185","100"
"Hgzmf 11 Cd. Delicias","Chihuahua","IMSS","CHIMS000206","100"
"Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas","Ciudad de México","SSA/CC","DFSSA004026","100"
"Hospital General Ajusco Medio","Ciudad de México","SSA","DFSSA018166","100"
"Presidente Gral. Lazaro Cardenas","Chihuahua","ISSSTE","CHIST000030","100"
"Hgz 46 Gomez Palacio","Durango","IMSS","DGIMS000083","100"
