"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas","Ciudad de México","SSA/CC","DFSSA004026","100"
"Hospital Juárez de México","Ciudad de México","SSA/CC","DFSSA003944","100"
"Instituto Nacional de Ciencias Médicas Y Nutrición Salvador Zubirán","Ciudad de México","SSA/CC","DFSSA004055","93"
"Hospital General de México","Ciudad de México","SSA/CC","DFSSA003973","50"
"Instituto Nacional de Rehabilitación","Ciudad de México","SSA/CC","DFSSA003956","25"
"Instituto Nacional de Pediatría","Ciudad de México","SSA/CC","DFSSA004014","20"
"Hospital Regional de Alta Especialidad Ixtapaluca","México","SSA/CC","MCSSA018786","17"
"Hospital Regional de Alta Especialidad del Bajío","Guanajuato","SSA/CC","GTSSA016796","8"
"Hospital Regional de Alta Especialidad de Oaxaca","Oaxaca","SSA/CC","OCSSA007483","0"
"Instituto Nacional de Cancerología","Ciudad de México","SSA/CC","DFSSA004043","0"
