"Unidad médica","Estado","Institución","CLUES","% de Ocupación"
"Hgz 194 El Molinito","México","IMSS","MCIMS000326","100"
"Centro Médico del Noroeste S.a.de C.v.","Sonora","SMP","SRSMP000401","100"
"Hospital General Ajusco Medio","Ciudad de México","SSA","DFSSA018166","100"
"Hospital General Regional No. 2 El Marques","Querétaro","IMSS","QTIMS000285","100"
"Hgz 1 Aguascalientes","Aguascalientes","IMSS","ASIMS000021","100"
"Hospital General Dr. Manuel Gea González","Ciudad de México","SSA/CC","DFSSA003961","100"
"Hospital General Queretaro","Querétaro","SSA","QTSSA001752","100"
"Unidad Médica Regional de Atención A La Gestación Y Al Neonato","Hidalgo","SSA","HGSSA005003","100"
"Hgz 71 Verac","Veracruz de Ignacio de La Llave","IMSS","VZIMS001124","100"
"Primero de Octubre","Ciudad de México","ISSSTE","DFIST000090","100"
"Hospital Militar Regional de Mazatlán Sin.","Sinaloa","SEDENA","SLSDN000016","100"
"H.g. Texcoco Guadalupe Victoria Bicentenario","México","SSA","MCSSA018412","100"
"8/o. Regimiento Blindado de Reconocimiento","Guanajuato","SEDENA","GTSDN000104","100"
"Dr. Roberto Nettel F.","Chiapas","ISSSTE","CSIST000210","100"
"Hgz 14 C/unidad Quemados","Sonora","IMSS","SRIMS000900","100"
"Hospital Militar Regional de Mérida Yuc.","Yucatán","SEDENA","YNSDN000014","100"
"Hgz 3 Cancun","Quintana Roo","IMSS","QRIMS000060","100"
"Hgz 13 Matamoros","Tamaulipas","IMSS","TSIMS000211","100"
"Gral. Ignacio Zaragoza","Ciudad de México","ISSSTE","DFIST000160","100"
"Hgr 270 Reynosa","Tamaulipas","IMSS","TSIMS000533","90"
"Hospital General Tijuana","Baja California","SSA","BCSSA000913","83"
"Hospital Regional de Alta Especialidad de Oaxaca","Oaxaca","SSA/CC","OCSSA007483","82"
"Hinfec Cm La Raza","Ciudad de México","IMSS","DFIMS000056","80"
"Hospital General del Estado Dr. Ernesto Ramos Bours","Sonora","SSA","SRSSA001110","75"
"Hgr 1 Culiacán","Sinaloa","IMSS","SLIMS000131","75"
"Hes 71 Torreon","Coahuila de Zaragoza","IMSS","CLIMS000490","75"
"Hgz 18 Playa del Carmen","Quintana Roo","IMSS","QRIMS000154","75"
"Hospital General de Soledad de Graciano Sánchez","San Luis Potosí","SSA","SPSSA017313","75"
"Hospital Central del Estado","Chihuahua","SSA","CHSSA000676","67"
"Hgz 6 Cd.juárez","Chihuahua","IMSS","CHIMS000293","67"
"Uneme de Urgencias Zacatecas","Zacatecas","SSA","ZSSSA013172","67"
"Centro Médico Issemym Lic. Arturo Montiel Rojas Issemym","México","SME","MCSME000921","64"
"Hospital General Tláhuac","Ciudad de México","SSA","DFSSA018154","62"
"Hospital Para El Niño Imiem","México","SME","MCSME000011","62"
"Hospital General de Chalco","México","SSA","MCSSA001682","60"
"Acapulco","Guerrero","ISSSTE","GRIST000025","60"
"Hospital Dr. Julian A. Manzur Ocaña","Tabasco","SME","TCSME000011","56"
"Hospital General Dr. Desiderio G. Rosado Carbajal","Tabasco","SSA","TCSSA017420","50"
"Hgz 49 Los Mochis","Sinaloa","IMSS","SLIMS000020","50"
"Hg Tuxtepec","Oaxaca","SSA","OCSSA002146","50"
"Hg Cm La Raza","Ciudad de México","IMSS","DFIMS000061","50"
"Hospital General Dr. Norberto Treviño Zapata","Tamaulipas","SSA","TSSSA002810","50"
"Hospital General Dr. Raymundo Abarca Alarcón","Guerrero","SSA","GRSSA009950","50"
"Hgz 15 Tehuacan","Puebla","IMSS","PLIMS000405","50"
"Centenario Hospital Miguel Hidalgo","Aguascalientes","SSA","ASSSA001331","47"
"23/o. Batallon de Infantería","Chihuahua","SEDENA","CHSDN000043","45"
